exp_id,episode,global_timestep,episode_steps,cost,duration
Medicine_pareto_test_20260511T201320,98,1790,19,280.0,505.0
Medicine_pareto_test_20260511T201320,99,1846,56,880.0,880.0
Medicine_pareto_test_20260511T201320,100,1869,23,340.0,435.0
Medicine_pareto_test_20260511T201320,101,1883,14,210.0,320.0
Medicine_pareto_test_20260511T201320,102,1937,54,815.0,995.0
Medicine_pareto_test_20260511T201320,103,1942,5,90.0,125.0
Medicine_pareto_test_20260511T201320,104,1955,13,240.0,145.0
Medicine_pareto_test_20260511T201320,105,1974,19,305.0,260.0
Medicine_pareto_test_20260511T201320,106,1996,22,325.0,365.0
Medicine_pareto_test_20260511T201320,107,2000,4,80.0,110.0
Medicine_pareto_test_20260511T201320,108,2010,10,165.0,165.0
Medicine_pareto_test_20260511T201320,109,2030,20,355.0,395.0
Medicine_pareto_test_20260511T201320,110,2037,7,110.0,175.0
Medicine_pareto_test_20260511T201320,111,2048,11,170.0,175.0
Medicine_pareto_test_20260511T201320,112,2062,14,260.0,240.0
Medicine_pareto_test_20260511T201320,113,2066,4,80.0,110.0
Medicine_pareto_test_20260511T201320,114,2071,5,90.0,125.0
Medicine_pareto_test_20260511T201320,115,2083,12,155.0,245.0
Medicine_pareto_test_20260511T201320,116,2092,9,195.0,110.0
Medicine_pareto_test_20260511T201320,117,2109,17,245.0,370.0
Medicine_pareto_test_20260511T201320,118,2115,6,110.0,100.0
Medicine_pareto_test_20260511T201320,119,2119,4,90.0,70.0
Medicine_pareto_test_20260511T201320,120,2125,6,130.0,160.0
Medicine_pareto_test_20260511T201320,121,2139,14,220.0,330.0
Medicine_pareto_test_20260511T201320,122,2159,20,330.0,330.0
Medicine_pareto_test_20260511T201320,123,2163,4,90.0,70.0
Medicine_pareto_test_20260511T201320,124,2168,5,90.0,125.0
Medicine_pareto_test_20260511T201320,125,2176,8,165.0,175.0
Medicine_pareto_test_20260511T201320,126,2200,24,430.0,530.0
Medicine_pareto_test_20260511T201320,127,2222,22,365.0,395.0
Medicine_pareto_test_20260511T201320,128,2228,6,75.0,95.0
Medicine_pareto_test_20260511T201320,129,2232,4,80.0,110.0
Medicine_pareto_test_20260511T201320,130,2237,5,85.0,120.0
Medicine_pareto_test_20260511T201320,131,2243,6,130.0,90.0
Medicine_pareto_test_20260511T201320,132,2250,7,105.0,100.0
Medicine_pareto_test_20260511T201320,133,2260,10,145.0,175.0
Medicine_pareto_test_20260511T201320,134,2271,11,220.0,165.0
Medicine_pareto_test_20260511T201320,135,2275,4,80.0,110.0
Medicine_pareto_test_20260511T201320,136,2279,4,90.0,70.0
Medicine_pareto_test_20260511T201320,137,2290,11,245.0,160.0
Medicine_pareto_test_20260511T201320,138,2298,8,150.0,120.0
Medicine_pareto_test_20260511T201320,139,2308,10,145.0,175.0
Medicine_pareto_test_20260511T201320,140,2321,13,195.0,280.0
Medicine_pareto_test_20260511T201320,141,2338,17,310.0,225.0
Medicine_pareto_test_20260511T201320,142,2360,22,355.0,455.0
Medicine_pareto_test_20260511T201320,143,2372,12,195.0,225.0
Medicine_pareto_test_20260511T201320,144,2379,7,150.0,135.0
Medicine_pareto_test_20260511T201320,145,2383,4,70.0,80.0
Medicine_pareto_test_20260511T201320,146,2391,8,135.0,105.0
Medicine_pareto_test_20260511T201320,147,2397,6,95.0,135.0
Medicine_pareto_test_20260511T201320,148,2420,23,365.0,330.0
Medicine_pareto_test_20260511T201320,149,2428,8,160.0,100.0
Medicine_pareto_test_20260511T201320,150,2435,7,140.0,105.0
Medicine_pareto_test_20260511T201320,151,2444,9,160.0,155.0
Medicine_pareto_test_20260511T201320,152,2452,8,145.0,185.0
Medicine_pareto_test_20260511T201320,153,2459,7,145.0,130.0
Medicine_pareto_test_20260511T201320,154,2464,5,95.0,80.0
Medicine_pareto_test_20260511T201320,155,2476,12,165.0,185.0
Medicine_pareto_test_20260511T201320,156,2507,31,500.0,535.0
Medicine_pareto_test_20260511T201320,157,2526,19,340.0,265.0
Medicine_pareto_test_20260511T201320,158,2544,18,300.0,320.0
Medicine_pareto_test_20260511T201320,159,2564,20,255.0,285.0
Medicine_pareto_test_20260511T201320,160,2569,5,100.0,85.0
Medicine_pareto_test_20260511T201320,161,2629,60,960.0,950.0
Medicine_pareto_test_20260511T201320,162,2637,8,150.0,190.0
Medicine_pareto_test_20260511T201320,163,2642,5,70.0,85.0
Medicine_pareto_test_20260511T201320,164,2651,9,170.0,185.0
Medicine_pareto_test_20260511T201320,165,2671,20,295.0,235.0
Medicine_pareto_test_20260511T201320,166,2697,26,410.0,460.0
Medicine_pareto_test_20260511T201320,167,2703,6,95.0,135.0
Medicine_pareto_test_20260511T201320,168,2712,9,165.0,230.0
Medicine_pareto_test_20260511T201320,169,2718,6,95.0,135.0
Medicine_pareto_test_20260511T201320,170,2742,24,365.0,455.0
Medicine_pareto_test_20260511T201320,171,2753,11,230.0,125.0
Medicine_pareto_test_20260511T201320,172,2764,11,175.0,180.0
Medicine_pareto_test_20260511T201320,173,2773,9,160.0,155.0
Medicine_pareto_test_20260511T201320,174,2784,11,210.0,205.0
Medicine_pareto_test_20260511T201320,175,2792,8,170.0,110.0
Medicine_pareto_test_20260511T201320,176,2803,11,160.0,145.0
Medicine_pareto_test_20260511T201320,177,2830,27,445.0,440.0
Medicine_pareto_test_20260511T201320,178,2851,21,335.0,460.0
Medicine_pareto_test_20260511T201320,179,2871,20,305.0,315.0
Medicine_pareto_test_20260511T201320,180,2884,13,280.0,175.0
Medicine_pareto_test_20260511T201320,181,2899,15,195.0,200.0
Medicine_pareto_test_20260511T201320,182,2904,5,95.0,80.0
Medicine_pareto_test_20260511T201320,183,2917,13,180.0,175.0
Medicine_pareto_test_20260511T201320,184,2921,4,65.0,75.0
Medicine_pareto_test_20260511T201320,185,2933,12,225.0,155.0
Medicine_pareto_test_20260511T201320,186,2939,6,110.0,100.0
Medicine_pareto_test_20260511T201320,187,2955,16,195.0,255.0
Medicine_pareto_test_20260511T201320,188,2959,4,90.0,70.0
Medicine_pareto_test_20260511T201320,189,2966,7,125.0,140.0
Medicine_pareto_test_20260511T201320,190,2984,18,255.0,315.0
Medicine_pareto_test_20260511T201320,191,2995,11,195.0,290.0
Medicine_pareto_test_20260511T201320,192,3008,13,200.0,285.0
